Question,Question_Subscale_or_Scale_Value,Avg_Aggregate_Description_Text_Response,Avg_Self_Comparison_Text_Response,Avg_Supervisor_Comparison_Text_Response,Avg_Subordinate_Comparison_Text_Response,Avg_Peer_Comparison_Text_Response,Coaching_Response
FAULT4,1SD_Negative,Relative to the general population -1 SD FAULT4.,Relative to the self-rating -1 SD FAULT4.,Relative to the supervisor-rating -1 SD FAULT4.,Relative to the subordinate ratings -1 SD FAULT4.,Relative to the peer ratings -1 SD FAULT4.,Coaching   -1 SD FAULT4.
FAULT4,Average,Relative to the general population Average FAULT4.,Relative to the self-rating Average FAULT4.,Relative to the supervisor-rating Average FAULT4.,Relative to the subordinate ratings Average FAULT4.,Relative to the peer ratings Average FAULT4.,Coaching  Average FAULT4.
FAULT4,1SD_Positive,Relative to the general population +1 SD FAULT4.,Relative to the self-rating +1 SD FAULT4.,Relative to the supervisor-rating +1 SD FAULT4.,Relative to the subordinate ratings +1 SD FAULT4.,Relative to the peer ratings +1 SD FAULT4.,Coaching   +1 SD FAULT4.
FAULT4,2SD_Positive,Relative to the general population +2 SD FAULT4.,Relative to the self-rating +2 SD FAULT4.,Relative to the supervisor-rating +2 SD FAULT4.,Relative to the subordinate ratings +2 SD FAULT4.,Relative to the peer ratings +2 SD FAULT4.,Coaching   +2 SD FAULT4.
FAULT4,3SD_Positive,Relative to the general population +3 SD FAULT4.,Relative to the self-rating +3 SD FAULT4.,Relative to the supervisor-rating +3 SD FAULT4.,Relative to the subordinate ratings +3 SD FAULT4.,Relative to the peer ratings +3 SD FAULT4.,Coaching   +3 SD FAULT4.
FAULT5,3SD_Negative,Relative to the general population -3 SD FAULT5.,Relative to the self-rating -3 SD FAULT5.,Relative to the supervisor-rating -3 SD FAULT5.,Relative to the subordinate ratings -3 SD FAULT5.,Relative to the peer ratings -3 SD FAULT5.,Coaching   -3 SD FAULT5.
FAULT5,2SD_Negative,Relative to the general population -2 SD FAULT5.,Relative to the self-rating -2 SD FAULT5.,Relative to the supervisor-rating -2 SD FAULT5.,Relative to the subordinate ratings -2 SD FAULT5.,Relative to the peer ratings -2 SD FAULT5.,Coaching   -2 SD FAULT5.
FAULT5,1SD_Negative,Relative to the general population -1 SD FAULT5.,Relative to the self-rating -1 SD FAULT5.,Relative to the supervisor-rating -1 SD FAULT5.,Relative to the subordinate ratings -1 SD FAULT5.,Relative to the peer ratings -1 SD FAULT5.,Coaching   -1 SD FAULT5.
FAULT5,Average,Relative to the general population Average FAULT5.,Relative to the self-rating Average FAULT5.,Relative to the supervisor-rating Average FAULT5.,Relative to the subordinate ratings Average FAULT5.,Relative to the peer ratings Average FAULT5.,Coaching  Average FAULT5.
FAULT5,1SD_Positive,Relative to the general population +1 SD FAULT5.,Relative to the self-rating +1 SD FAULT5.,Relative to the supervisor-rating +1 SD FAULT5.,Relative to the subordinate ratings +1 SD FAULT5.,Relative to the peer ratings +1 SD FAULT5.,Coaching   +1 SD FAULT5.
FAULT5,2SD_Positive,Relative to the general population +2 SD FAULT5.,Relative to the self-rating +2 SD FAULT5.,Relative to the supervisor-rating +2 SD FAULT5.,Relative to the subordinate ratings +2 SD FAULT5.,Relative to the peer ratings +2 SD FAULT5.,Coaching   +2 SD FAULT5.
FAULT5,3SD_Positive,Relative to the general population +3 SD FAULT5.,Relative to the self-rating +3 SD FAULT5.,Relative to the supervisor-rating +3 SD FAULT5.,Relative to the subordinate ratings +3 SD FAULT5.,Relative to the peer ratings +3 SD FAULT5.,Coaching   +3 SD FAULT5.
IDEAL1,3SD_Negative,Relative to the general population -3 SD IDEAL1.,Relative to the self-rating -3 SD IDEAL1.,Relative to the supervisor-rating -3 SD IDEAL1.,Relative to the subordinate ratings -3 SD IDEAL1.,Relative to the peer ratings -3 SD IDEAL1.,Coaching   -3 SD IDEAL1.
IDEAL1,2SD_Negative,Relative to the general population -2 SD IDEAL1.,Relative to the self-rating -2 SD IDEAL1.,Relative to the supervisor-rating -2 SD IDEAL1.,Relative to the subordinate ratings -2 SD IDEAL1.,Relative to the peer ratings -2 SD IDEAL1.,Coaching   -2 SD IDEAL1.
IDEAL1,1SD_Negative,Relative to the general population -1 SD IDEAL1.,Relative to the self-rating -1 SD IDEAL1.,Relative to the supervisor-rating -1 SD IDEAL1.,Relative to the subordinate ratings -1 SD IDEAL1.,Relative to the peer ratings -1 SD IDEAL1.,Coaching   -1 SD IDEAL1.
IDEAL1,Average,Relative to the general population Average IDEAL1.,Relative to the self-rating Average IDEAL1.,Relative to the supervisor-rating Average IDEAL1.,Relative to the subordinate ratings Average IDEAL1.,Relative to the peer ratings Average IDEAL1.,Coaching  Average IDEAL1.
IDEAL1,1SD_Positive,Relative to the general population +1 SD IDEAL1.,Relative to the self-rating +1 SD IDEAL1.,Relative to the supervisor-rating +1 SD IDEAL1.,Relative to the subordinate ratings +1 SD IDEAL1.,Relative to the peer ratings +1 SD IDEAL1.,Coaching   +1 SD IDEAL1.
IDEAL1,2SD_Positive,Relative to the general population +2 SD IDEAL1.,Relative to the self-rating +2 SD IDEAL1.,Relative to the supervisor-rating +2 SD IDEAL1.,Relative to the subordinate ratings +2 SD IDEAL1.,Relative to the peer ratings +2 SD IDEAL1.,Coaching   +2 SD IDEAL1.
IDEAL1,3SD_Positive,Relative to the general population +3 SD IDEAL1.,Relative to the self-rating +3 SD IDEAL1.,Relative to the supervisor-rating +3 SD IDEAL1.,Relative to the subordinate ratings +3 SD IDEAL1.,Relative to the peer ratings +3 SD IDEAL1.,Coaching   +3 SD IDEAL1.
IDEAL2,3SD_Negative,Relative to the general population -3 SD IDEAL2.,Relative to the self-rating -3 SD IDEAL2.,Relative to the supervisor-rating -3 SD IDEAL2.,Relative to the subordinate ratings -3 SD IDEAL2.,Relative to the peer ratings -3 SD IDEAL2.,Coaching   -3 SD IDEAL2.
IDEAL2,2SD_Negative,Relative to the general population -2 SD IDEAL2.,Relative to the self-rating -2 SD IDEAL2.,Relative to the supervisor-rating -2 SD IDEAL2.,Relative to the subordinate ratings -2 SD IDEAL2.,Relative to the peer ratings -2 SD IDEAL2.,Coaching   -2 SD IDEAL2.
IDEAL2,1SD_Negative,Relative to the general population -1 SD IDEAL2.,Relative to the self-rating -1 SD IDEAL2.,Relative to the supervisor-rating -1 SD IDEAL2.,Relative to the subordinate ratings -1 SD IDEAL2.,Relative to the peer ratings -1 SD IDEAL2.,Coaching   -1 SD IDEAL2.
IDEAL2,Average,Relative to the general population Average IDEAL2.,Relative to the self-rating Average IDEAL2.,Relative to the supervisor-rating Average IDEAL2.,Relative to the subordinate ratings Average IDEAL2.,Relative to the peer ratings Average IDEAL2.,Coaching  Average IDEAL2.
IDEAL2,1SD_Positive,Relative to the general population +1 SD IDEAL2.,Relative to the self-rating +1 SD IDEAL2.,Relative to the supervisor-rating +1 SD IDEAL2.,Relative to the subordinate ratings +1 SD IDEAL2.,Relative to the peer ratings +1 SD IDEAL2.,Coaching   +1 SD IDEAL2.
IDEAL2,2SD_Positive,Relative to the general population +2 SD IDEAL2.,Relative to the self-rating +2 SD IDEAL2.,Relative to the supervisor-rating +2 SD IDEAL2.,Relative to the subordinate ratings +2 SD IDEAL2.,Relative to the peer ratings +2 SD IDEAL2.,Coaching   +2 SD IDEAL2.
IDEAL2,3SD_Positive,Relative to the general population +3 SD IDEAL2.,Relative to the self-rating +3 SD IDEAL2.,Relative to the supervisor-rating +3 SD IDEAL2.,Relative to the subordinate ratings +3 SD IDEAL2.,Relative to the peer ratings +3 SD IDEAL2.,Coaching   +3 SD IDEAL2.
IDEAL3,3SD_Negative,Relative to the general population -3 SD IDEAL3.,Relative to the self-rating -3 SD IDEAL3.,Relative to the supervisor-rating -3 SD IDEAL3.,Relative to the subordinate ratings -3 SD IDEAL3.,Relative to the peer ratings -3 SD IDEAL3.,Coaching   -3 SD IDEAL3.
IDEAL3,2SD_Negative,Relative to the general population -2 SD IDEAL3.,Relative to the self-rating -2 SD IDEAL3.,Relative to the supervisor-rating -2 SD IDEAL3.,Relative to the subordinate ratings -2 SD IDEAL3.,Relative to the peer ratings -2 SD IDEAL3.,Coaching   -2 SD IDEAL3.
IDEAL3,1SD_Negative,Relative to the general population -1 SD IDEAL3.,Relative to the self-rating -1 SD IDEAL3.,Relative to the supervisor-rating -1 SD IDEAL3.,Relative to the subordinate ratings -1 SD IDEAL3.,Relative to the peer ratings -1 SD IDEAL3.,Coaching   -1 SD IDEAL3.
IDEAL3,Average,Relative to the general population Average IDEAL3.,Relative to the self-rating Average IDEAL3.,Relative to the supervisor-rating Average IDEAL3.,Relative to the subordinate ratings Average IDEAL3.,Relative to the peer ratings Average IDEAL3.,Coaching  Average IDEAL3.
IDEAL3,1SD_Positive,Relative to the general population +1 SD IDEAL3.,Relative to the self-rating +1 SD IDEAL3.,Relative to the supervisor-rating +1 SD IDEAL3.,Relative to the subordinate ratings +1 SD IDEAL3.,Relative to the peer ratings +1 SD IDEAL3.,Coaching   +1 SD IDEAL3.
IDEAL3,2SD_Positive,Relative to the general population +2 SD IDEAL3.,Relative to the self-rating +2 SD IDEAL3.,Relative to the supervisor-rating +2 SD IDEAL3.,Relative to the subordinate ratings +2 SD IDEAL3.,Relative to the peer ratings +2 SD IDEAL3.,Coaching   +2 SD IDEAL3.
IDEAL3,3SD_Positive,Relative to the general population +3 SD IDEAL3.,Relative to the self-rating +3 SD IDEAL3.,Relative to the supervisor-rating +3 SD IDEAL3.,Relative to the subordinate ratings +3 SD IDEAL3.,Relative to the peer ratings +3 SD IDEAL3.,Coaching   +3 SD IDEAL3.
IDEAL4,3SD_Negative,Relative to the general population -3 SD IDEAL4.,Relative to the self-rating -3 SD IDEAL4.,Relative to the supervisor-rating -3 SD IDEAL4.,Relative to the subordinate ratings -3 SD IDEAL4.,Relative to the peer ratings -3 SD IDEAL4.,Coaching   -3 SD IDEAL4.
IDEAL4,2SD_Negative,Relative to the general population -2 SD IDEAL4.,Relative to the self-rating -2 SD IDEAL4.,Relative to the supervisor-rating -2 SD IDEAL4.,Relative to the subordinate ratings -2 SD IDEAL4.,Relative to the peer ratings -2 SD IDEAL4.,Coaching   -2 SD IDEAL4.
IDEAL4,1SD_Negative,Relative to the general population -1 SD IDEAL4.,Relative to the self-rating -1 SD IDEAL4.,Relative to the supervisor-rating -1 SD IDEAL4.,Relative to the subordinate ratings -1 SD IDEAL4.,Relative to the peer ratings -1 SD IDEAL4.,Coaching   -1 SD IDEAL4.
IDEAL4,Average,Relative to the general population Average IDEAL4.,Relative to the self-rating Average IDEAL4.,Relative to the supervisor-rating Average IDEAL4.,Relative to the subordinate ratings Average IDEAL4.,Relative to the peer ratings Average IDEAL4.,Coaching  Average IDEAL4.
IDEAL4,1SD_Positive,Relative to the general population +1 SD IDEAL4.,Relative to the self-rating +1 SD IDEAL4.,Relative to the supervisor-rating +1 SD IDEAL4.,Relative to the subordinate ratings +1 SD IDEAL4.,Relative to the peer ratings +1 SD IDEAL4.,Coaching   +1 SD IDEAL4.
IDEAL4,2SD_Positive,Relative to the general population +2 SD IDEAL4.,Relative to the self-rating +2 SD IDEAL4.,Relative to the supervisor-rating +2 SD IDEAL4.,Relative to the subordinate ratings +2 SD IDEAL4.,Relative to the peer ratings +2 SD IDEAL4.,Coaching   +2 SD IDEAL4.
IDEAL4,3SD_Positive,Relative to the general population +3 SD IDEAL4.,Relative to the self-rating +3 SD IDEAL4.,Relative to the supervisor-rating +3 SD IDEAL4.,Relative to the subordinate ratings +3 SD IDEAL4.,Relative to the peer ratings +3 SD IDEAL4.,Coaching   +3 SD IDEAL4.
IDEAL5,3SD_Negative,Relative to the general population -3 SD IDEAL5.,Relative to the self-rating -3 SD IDEAL5.,Relative to the supervisor-rating -3 SD IDEAL5.,Relative to the subordinate ratings -3 SD IDEAL5.,Relative to the peer ratings -3 SD IDEAL5.,Coaching   -3 SD IDEAL5.
IDEAL5,2SD_Negative,Relative to the general population -2 SD IDEAL5.,Relative to the self-rating -2 SD IDEAL5.,Relative to the supervisor-rating -2 SD IDEAL5.,Relative to the subordinate ratings -2 SD IDEAL5.,Relative to the peer ratings -2 SD IDEAL5.,Coaching   -2 SD IDEAL5.
IDEAL5,1SD_Negative,Relative to the general population -1 SD IDEAL5.,Relative to the self-rating -1 SD IDEAL5.,Relative to the supervisor-rating -1 SD IDEAL5.,Relative to the subordinate ratings -1 SD IDEAL5.,Relative to the peer ratings -1 SD IDEAL5.,Coaching   -1 SD IDEAL5.
IDEAL5,Average,Relative to the general population Average IDEAL5.,Relative to the self-rating Average IDEAL5.,Relative to the supervisor-rating Average IDEAL5.,Relative to the subordinate ratings Average IDEAL5.,Relative to the peer ratings Average IDEAL5.,Coaching  Average IDEAL5.
IDEAL5,1SD_Positive,Relative to the general population +1 SD IDEAL5.,Relative to the self-rating +1 SD IDEAL5.,Relative to the supervisor-rating +1 SD IDEAL5.,Relative to the subordinate ratings +1 SD IDEAL5.,Relative to the peer ratings +1 SD IDEAL5.,Coaching   +1 SD IDEAL5.
IDEAL5,2SD_Positive,Relative to the general population +2 SD IDEAL5.,Relative to the self-rating +2 SD IDEAL5.,Relative to the supervisor-rating +2 SD IDEAL5.,Relative to the subordinate ratings +2 SD IDEAL5.,Relative to the peer ratings +2 SD IDEAL5.,Coaching   +2 SD IDEAL5.
IDEAL5,3SD_Positive,Relative to the general population +3 SD IDEAL5.,Relative to the self-rating +3 SD IDEAL5.,Relative to the supervisor-rating +3 SD IDEAL5.,Relative to the subordinate ratings +3 SD IDEAL5.,Relative to the peer ratings +3 SD IDEAL5.,Coaching   +3 SD IDEAL5.
IDEAL6,3SD_Negative,Relative to the general population -3 SD IDEAL6.,Relative to the self-rating -3 SD IDEAL6.,Relative to the supervisor-rating -3 SD IDEAL6.,Relative to the subordinate ratings -3 SD IDEAL6.,Relative to the peer ratings -3 SD IDEAL6.,Coaching   -3 SD IDEAL6.
IDEAL6,2SD_Negative,Relative to the general population -2 SD IDEAL6.,Relative to the self-rating -2 SD IDEAL6.,Relative to the supervisor-rating -2 SD IDEAL6.,Relative to the subordinate ratings -2 SD IDEAL6.,Relative to the peer ratings -2 SD IDEAL6.,Coaching   -2 SD IDEAL6.
IDEAL6,1SD_Negative,Relative to the general population -1 SD IDEAL6.,Relative to the self-rating -1 SD IDEAL6.,Relative to the supervisor-rating -1 SD IDEAL6.,Relative to the subordinate ratings -1 SD IDEAL6.,Relative to the peer ratings -1 SD IDEAL6.,Coaching   -1 SD IDEAL6.
IDEAL6,Average,Relative to the general population Average IDEAL6.,Relative to the self-rating Average IDEAL6.,Relative to the supervisor-rating Average IDEAL6.,Relative to the subordinate ratings Average IDEAL6.,Relative to the peer ratings Average IDEAL6.,Coaching  Average IDEAL6.
IDEAL6,1SD_Positive,Relative to the general population +1 SD IDEAL6.,Relative to the self-rating +1 SD IDEAL6.,Relative to the supervisor-rating +1 SD IDEAL6.,Relative to the subordinate ratings +1 SD IDEAL6.,Relative to the peer ratings +1 SD IDEAL6.,Coaching   +1 SD IDEAL6.
IDEAL6,2SD_Positive,Relative to the general population +2 SD IDEAL6.,Relative to the self-rating +2 SD IDEAL6.,Relative to the supervisor-rating +2 SD IDEAL6.,Relative to the subordinate ratings +2 SD IDEAL6.,Relative to the peer ratings +2 SD IDEAL6.,Coaching   +2 SD IDEAL6.
IDEAL6,3SD_Positive,Relative to the general population +3 SD IDEAL6.,Relative to the self-rating +3 SD IDEAL6.,Relative to the supervisor-rating +3 SD IDEAL6.,Relative to the subordinate ratings +3 SD IDEAL6.,Relative to the peer ratings +3 SD IDEAL6.,Coaching   +3 SD IDEAL6.
IDEAL7,3SD_Negative,Relative to the general population -3 SD IDEAL7.,Relative to the self-rating -3 SD IDEAL7.,Relative to the supervisor-rating -3 SD IDEAL7.,Relative to the subordinate ratings -3 SD IDEAL7.,Relative to the peer ratings -3 SD IDEAL7.,Coaching   -3 SD IDEAL7.
IDEAL7,2SD_Negative,Relative to the general population -2 SD IDEAL7.,Relative to the self-rating -2 SD IDEAL7.,Relative to the supervisor-rating -2 SD IDEAL7.,Relative to the subordinate ratings -2 SD IDEAL7.,Relative to the peer ratings -2 SD IDEAL7.,Coaching   -2 SD IDEAL7.
IDEAL7,1SD_Negative,Relative to the general population -1 SD IDEAL7.,Relative to the self-rating -1 SD IDEAL7.,Relative to the supervisor-rating -1 SD IDEAL7.,Relative to the subordinate ratings -1 SD IDEAL7.,Relative to the peer ratings -1 SD IDEAL7.,Coaching   -1 SD IDEAL7.
IDEAL7,Average,Relative to the general population Average IDEAL7.,Relative to the self-rating Average IDEAL7.,Relative to the supervisor-rating Average IDEAL7.,Relative to the subordinate ratings Average IDEAL7.,Relative to the peer ratings Average IDEAL7.,Coaching  Average IDEAL7.
IDEAL7,1SD_Positive,Relative to the general population +1 SD IDEAL7.,Relative to the self-rating +1 SD IDEAL7.,Relative to the supervisor-rating +1 SD IDEAL7.,Relative to the subordinate ratings +1 SD IDEAL7.,Relative to the peer ratings +1 SD IDEAL7.,Coaching   +1 SD IDEAL7.
IDEAL7,2SD_Positive,Relative to the general population +2 SD IDEAL7.,Relative to the self-rating +2 SD IDEAL7.,Relative to the supervisor-rating +2 SD IDEAL7.,Relative to the subordinate ratings +2 SD IDEAL7.,Relative to the peer ratings +2 SD IDEAL7.,Coaching   +2 SD IDEAL7.
IDEAL7,3SD_Positive,Relative to the general population +3 SD IDEAL7.,Relative to the self-rating +3 SD IDEAL7.,Relative to the supervisor-rating +3 SD IDEAL7.,Relative to the subordinate ratings +3 SD IDEAL7.,Relative to the peer ratings +3 SD IDEAL7.,Coaching   +3 SD IDEAL7.
IDEAL8,3SD_Negative,Relative to the general population -3 SD IDEAL8.,Relative to the self-rating -3 SD IDEAL8.,Relative to the supervisor-rating -3 SD IDEAL8.,Relative to the subordinate ratings -3 SD IDEAL8.,Relative to the peer ratings -3 SD IDEAL8.,Coaching   -3 SD IDEAL8.
IDEAL8,2SD_Negative,Relative to the general population -2 SD IDEAL8.,Relative to the self-rating -2 SD IDEAL8.,Relative to the supervisor-rating -2 SD IDEAL8.,Relative to the subordinate ratings -2 SD IDEAL8.,Relative to the peer ratings -2 SD IDEAL8.,Coaching   -2 SD IDEAL8.
IDEAL8,1SD_Negative,Relative to the general population -1 SD IDEAL8.,Relative to the self-rating -1 SD IDEAL8.,Relative to the supervisor-rating -1 SD IDEAL8.,Relative to the subordinate ratings -1 SD IDEAL8.,Relative to the peer ratings -1 SD IDEAL8.,Coaching   -1 SD IDEAL8.
IDEAL8,Average,Relative to the general population Average IDEAL8.,Relative to the self-rating Average IDEAL8.,Relative to the supervisor-rating Average IDEAL8.,Relative to the subordinate ratings Average IDEAL8.,Relative to the peer ratings Average IDEAL8.,Coaching  Average IDEAL8.
IDEAL8,1SD_Positive,Relative to the general population +1 SD IDEAL8.,Relative to the self-rating +1 SD IDEAL8.,Relative to the supervisor-rating +1 SD IDEAL8.,Relative to the subordinate ratings +1 SD IDEAL8.,Relative to the peer ratings +1 SD IDEAL8.,Coaching   +1 SD IDEAL8.
IDEAL8,2SD_Positive,Relative to the general population +2 SD IDEAL8.,Relative to the self-rating +2 SD IDEAL8.,Relative to the supervisor-rating +2 SD IDEAL8.,Relative to the subordinate ratings +2 SD IDEAL8.,Relative to the peer ratings +2 SD IDEAL8.,Coaching   +2 SD IDEAL8.
IDEAL8,3SD_Positive,Relative to the general population +3 SD IDEAL8.,Relative to the self-rating +3 SD IDEAL8.,Relative to the supervisor-rating +3 SD IDEAL8.,Relative to the subordinate ratings +3 SD IDEAL8.,Relative to the peer ratings +3 SD IDEAL8.,Coaching   +3 SD IDEAL8.
IDEAL9,3SD_Negative,Relative to the general population -3 SD IDEAL9.,Relative to the self-rating -3 SD IDEAL9.,Relative to the supervisor-rating -3 SD IDEAL9.,Relative to the subordinate ratings -3 SD IDEAL9.,Relative to the peer ratings -3 SD IDEAL9.,Coaching   -3 SD IDEAL9.
IDEAL9,2SD_Negative,Relative to the general population -2 SD IDEAL9.,Relative to the self-rating -2 SD IDEAL9.,Relative to the supervisor-rating -2 SD IDEAL9.,Relative to the subordinate ratings -2 SD IDEAL9.,Relative to the peer ratings -2 SD IDEAL9.,Coaching   -2 SD IDEAL9.
IDEAL9,1SD_Negative,Relative to the general population -1 SD IDEAL9.,Relative to the self-rating -1 SD IDEAL9.,Relative to the supervisor-rating -1 SD IDEAL9.,Relative to the subordinate ratings -1 SD IDEAL9.,Relative to the peer ratings -1 SD IDEAL9.,Coaching   -1 SD IDEAL9.
IDEAL9,Average,Relative to the general population Average IDEAL9.,Relative to the self-rating Average IDEAL9.,Relative to the supervisor-rating Average IDEAL9.,Relative to the subordinate ratings Average IDEAL9.,Relative to the peer ratings Average IDEAL9.,Coaching  Average IDEAL9.
IDEAL9,1SD_Positive,Relative to the general population +1 SD IDEAL9.,Relative to the self-rating +1 SD IDEAL9.,Relative to the supervisor-rating +1 SD IDEAL9.,Relative to the subordinate ratings +1 SD IDEAL9.,Relative to the peer ratings +1 SD IDEAL9.,Coaching   +1 SD IDEAL9.
IDEAL9,2SD_Positive,Relative to the general population +2 SD IDEAL9.,Relative to the self-rating +2 SD IDEAL9.,Relative to the supervisor-rating +2 SD IDEAL9.,Relative to the subordinate ratings +2 SD IDEAL9.,Relative to the peer ratings +2 SD IDEAL9.,Coaching   +2 SD IDEAL9.
IDEAL9,3SD_Positive,Relative to the general population +3 SD IDEAL9.,Relative to the self-rating +3 SD IDEAL9.,Relative to the supervisor-rating +3 SD IDEAL9.,Relative to the subordinate ratings +3 SD IDEAL9.,Relative to the peer ratings +3 SD IDEAL9.,Coaching   +3 SD IDEAL9.
IDEAL10,3SD_Negative,Relative to the general population -3 SD IDEAL10.,Relative to the self-rating -3 SD IDEAL10.,Relative to the supervisor-rating -3 SD IDEAL10.,Relative to the subordinate ratings -3 SD IDEAL10.,Relative to the peer ratings -3 SD IDEAL10.,Coaching   -3 SD IDEAL10.
IDEAL10,2SD_Negative,Relative to the general population -2 SD IDEAL10.,Relative to the self-rating -2 SD IDEAL10.,Relative to the supervisor-rating -2 SD IDEAL10.,Relative to the subordinate ratings -2 SD IDEAL10.,Relative to the peer ratings -2 SD IDEAL10.,Coaching   -2 SD IDEAL10.
IDEAL10,1SD_Negative,Relative to the general population -1 SD IDEAL10.,Relative to the self-rating -1 SD IDEAL10.,Relative to the supervisor-rating -1 SD IDEAL10.,Relative to the subordinate ratings -1 SD IDEAL10.,Relative to the peer ratings -1 SD IDEAL10.,Coaching   -1 SD IDEAL10.
IDEAL10,Average,Relative to the general population Average IDEAL10.,Relative to the self-rating Average IDEAL10.,Relative to the supervisor-rating Average IDEAL10.,Relative to the subordinate ratings Average IDEAL10.,Relative to the peer ratings Average IDEAL10.,Coaching  Average IDEAL10.
IDEAL10,1SD_Positive,Relative to the general population +1 SD IDEAL10.,Relative to the self-rating +1 SD IDEAL10.,Relative to the supervisor-rating +1 SD IDEAL10.,Relative to the subordinate ratings +1 SD IDEAL10.,Relative to the peer ratings +1 SD IDEAL10.,Coaching   +1 SD IDEAL10.
IDEAL10,2SD_Positive,Relative to the general population +2 SD IDEAL10.,Relative to the self-rating +2 SD IDEAL10.,Relative to the supervisor-rating +2 SD IDEAL10.,Relative to the subordinate ratings +2 SD IDEAL10.,Relative to the peer ratings +2 SD IDEAL10.,Coaching   +2 SD IDEAL10.
IDEAL10,3SD_Positive,Relative to the general population +3 SD IDEAL10.,Relative to the self-rating +3 SD IDEAL10.,Relative to the supervisor-rating +3 SD IDEAL10.,Relative to the subordinate ratings +3 SD IDEAL10.,Relative to the peer ratings +3 SD IDEAL10.,Coaching   +3 SD IDEAL10.
IDEAL11,3SD_Negative,Relative to the general population -3 SD IDEAL11.,Relative to the self-rating -3 SD IDEAL11.,Relative to the supervisor-rating -3 SD IDEAL11.,Relative to the subordinate ratings -3 SD IDEAL11.,Relative to the peer ratings -3 SD IDEAL11.,Coaching   -3 SD IDEAL11.
IDEAL11,2SD_Negative,Relative to the general population -2 SD IDEAL11.,Relative to the self-rating -2 SD IDEAL11.,Relative to the supervisor-rating -2 SD IDEAL11.,Relative to the subordinate ratings -2 SD IDEAL11.,Relative to the peer ratings -2 SD IDEAL11.,Coaching   -2 SD IDEAL11.
IDEAL11,1SD_Negative,Relative to the general population -1 SD IDEAL11.,Relative to the self-rating -1 SD IDEAL11.,Relative to the supervisor-rating -1 SD IDEAL11.,Relative to the subordinate ratings -1 SD IDEAL11.,Relative to the peer ratings -1 SD IDEAL11.,Coaching   -1 SD IDEAL11.
IDEAL11,Average,Relative to the general population Average IDEAL11.,Relative to the self-rating Average IDEAL11.,Relative to the supervisor-rating Average IDEAL11.,Relative to the subordinate ratings Average IDEAL11.,Relative to the peer ratings Average IDEAL11.,Coaching  Average IDEAL11.
IDEAL11,1SD_Positive,Relative to the general population +1 SD IDEAL11.,Relative to the self-rating +1 SD IDEAL11.,Relative to the supervisor-rating +1 SD IDEAL11.,Relative to the subordinate ratings +1 SD IDEAL11.,Relative to the peer ratings +1 SD IDEAL11.,Coaching   +1 SD IDEAL11.
IDEAL11,2SD_Positive,Relative to the general population +2 SD IDEAL11.,Relative to the self-rating +2 SD IDEAL11.,Relative to the supervisor-rating +2 SD IDEAL11.,Relative to the subordinate ratings +2 SD IDEAL11.,Relative to the peer ratings +2 SD IDEAL11.,Coaching   +2 SD IDEAL11.
IDEAL11,3SD_Positive,Relative to the general population +3 SD IDEAL11.,Relative to the self-rating +3 SD IDEAL11.,Relative to the supervisor-rating +3 SD IDEAL11.,Relative to the subordinate ratings +3 SD IDEAL11.,Relative to the peer ratings +3 SD IDEAL11.,Coaching   +3 SD IDEAL11.
IDEAL12,3SD_Negative,Relative to the general population -3 SD IDEAL12.,Relative to the self-rating -3 SD IDEAL12.,Relative to the supervisor-rating -3 SD IDEAL12.,Relative to the subordinate ratings -3 SD IDEAL12.,Relative to the peer ratings -3 SD IDEAL12.,Coaching   -3 SD IDEAL12.
IDEAL12,2SD_Negative,Relative to the general population -2 SD IDEAL12.,Relative to the self-rating -2 SD IDEAL12.,Relative to the supervisor-rating -2 SD IDEAL12.,Relative to the subordinate ratings -2 SD IDEAL12.,Relative to the peer ratings -2 SD IDEAL12.,Coaching   -2 SD IDEAL12.
IDEAL12,1SD_Negative,Relative to the general population -1 SD IDEAL12.,Relative to the self-rating -1 SD IDEAL12.,Relative to the supervisor-rating -1 SD IDEAL12.,Relative to the subordinate ratings -1 SD IDEAL12.,Relative to the peer ratings -1 SD IDEAL12.,Coaching   -1 SD IDEAL12.
IDEAL12,Average,Relative to the general population Average IDEAL12.,Relative to the self-rating Average IDEAL12.,Relative to the supervisor-rating Average IDEAL12.,Relative to the subordinate ratings Average IDEAL12.,Relative to the peer ratings Average IDEAL12.,Coaching  Average IDEAL12.
IDEAL12,1SD_Positive,Relative to the general population +1 SD IDEAL12.,Relative to the self-rating +1 SD IDEAL12.,Relative to the supervisor-rating +1 SD IDEAL12.,Relative to the subordinate ratings +1 SD IDEAL12.,Relative to the peer ratings +1 SD IDEAL12.,Coaching   +1 SD IDEAL12.
IDEAL12,2SD_Positive,Relative to the general population +2 SD IDEAL12.,Relative to the self-rating +2 SD IDEAL12.,Relative to the supervisor-rating +2 SD IDEAL12.,Relative to the subordinate ratings +2 SD IDEAL12.,Relative to the peer ratings +2 SD IDEAL12.,Coaching   +2 SD IDEAL12.
IDEAL12,3SD_Positive,Relative to the general population +3 SD IDEAL12.,Relative to the self-rating +3 SD IDEAL12.,Relative to the supervisor-rating +3 SD IDEAL12.,Relative to the subordinate ratings +3 SD IDEAL12.,Relative to the peer ratings +3 SD IDEAL12.,Coaching   +3 SD IDEAL12.
